Property_ID,Date,City,Locality,State,Property_Type,BHK,Area_Sqft,Property_Age_Years,Sale_Price_Lakh,Price_per_Sqft,Monthly_Rent,Rental_Yield_Percent,New_Listings,Units_Sold,Unsold_Inventory,Days_on_Market,Demand_Index,Supply_Index,Interest_Rate_Percent,Inflation_Percent,GDP_Growth_Percent,Metro_Distance_Km,Latitude,Longitude
PROP00001,2024-12-01,Bengaluru,Koramangala,Karnataka,Villa,3,1491,4,256.05,17173.03,81916,3.84,200,125,426,81,78.1,75.0,5.93,5.17,6.16,10.0,12.935,77.623761
PROP00002,2023-08-01,Bengaluru,Hebbal,Karnataka,Independent House,3,1623,16,167.58,10325.37,57512,4.12,154,86,287,81,86.1,83.5,6.09,4.95,6.21,3.0,13.038402,77.599973
PROP00003,2024-11-01,Mumbai,Navi Mumbai,Maharashtra,Apartment,3,1635,9,371.29,22708.96,101960,3.3,176,119,274,68,85.7,73.3,5.96,4.71,6.4,1.6,19.029537,73.033573
PROP00004,2024-07-01,Jaipur,C-Scheme,Rajasthan,Apartment,3,1561,11,72.02,4613.74,27904,4.65,96,57,158,79,77.8,59.4,6.01,5.31,6.35,9.5,26.914902,75.786063
PROP00005,2023-06-01,Pune,Viman Nagar,Maharashtra,Apartment,1,591,16,43.68,7391.08,16971,4.66,156,91,310,53,82.1,71.1,5.89,4.4,6.15,10.9,18.564278,73.912787
PROP00006,2026-05-01,Ahmedabad,Chandkheda,Gujarat,Apartment,3,1684,9,90.25,5359.46,39833,5.3,164,84,298,80,64.9,65.3,5.96,5.1,6.51,7.1,23.108043,72.579906
PROP00007,2025-07-01,Ahmedabad,Satellite,Gujarat,Apartment,2,866,13,41.19,4755.83,14235,4.15,164,92,284,61,73.7,52.4,6.03,5.38,7.2,6.0,23.027458,72.504542
PROP00008,2024-02-01,Mumbai,Thane,Maharashtra,Apartment,2,1068,10,238.66,22346.29,64678,3.25,83,57,150,94,79.3,65.4,6.01,5.44,6.33,3.0,19.21444,72.975199
PROP00009,2023-05-01,Chennai,Porur,Tamil Nadu,Villa,2,1182,4,120.7,10211.55,34443,3.42,101,77,178,92,79.1,64.2,6.02,4.95,6.6,4.0,13.038878,80.154356
PROP00010,2023-09-01,Noida,Sector 150,Uttar Pradesh,Apartment,3,1459,5,121.9,8354.85,51505,5.07,218,155,439,63,76.9,66.8,6.06,4.82,6.5,2.0,28.48135,77.41263
PROP00011,2022-01-01,Delhi,Dwarka,Delhi,Apartment,2,1121,19,118.54,10574.24,38972,3.95,138,72,326,86,66.7,70.2,6.11,4.93,6.26,0.6,28.59307,77.046706
PROP00012,2022-06-01,Kolkata,Behala,West Bengal,Apartment,2,852,20,46.04,5403.62,13806,3.6,206,136,363,52,68.2,66.3,5.99,4.52,6.31,4.7,22.501495,88.314623
PROP00013,2023-03-01,Noida,Greater Noida West,Uttar Pradesh,Apartment,2,1032,20,73.9,7161.28,22852,3.71,125,63,295,81,80.2,81.5,5.98,4.94,6.02,0.5,28.602934,77.435929
PROP00014,2022-03-01,Ahmedabad,Chandkheda,Gujarat,Apartment,3,1692,8,78.38,4632.51,27962,4.28,233,156,447,64,76.3,60.4,5.92,5.54,6.59,11.1,23.102022,72.58771
PROP00015,2023-01-01,Jaipur,C-Scheme,Rajasthan,Villa,3,1789,13,132.55,7409.24,52459,4.75,120,95,208,64,81.0,42.3,5.87,5.15,7.1,4.6,26.915855,75.785986
PROP00016,2023-09-01,Kolkata,Rajarhat,West Bengal,Apartment,2,1167,19,86.1,7377.87,34693,4.84,192,128,360,62,85.4,67.6,6.09,4.47,6.77,10.4,22.622882,88.485885
PROP00017,2024-10-01,Kolkata,New Town,West Bengal,Apartment,4,2367,15,180.9,7642.69,74839,4.96,147,96,254,80,69.0,57.7,6.1,5.27,5.7,6.4,22.586988,88.418656
PROP00018,2024-03-01,Mumbai,Thane,Maharashtra,Apartment,4,2469,2,495.7,20076.77,152850,3.7,217,143,416,80,76.5,78.3,5.94,4.93,6.45,2.0,19.222299,72.973866
PROP00019,2022-07-01,Ahmedabad,Satellite,Gujarat,Apartment,4,2370,7,128.11,5405.69,56657,5.31,251,171,392,92,80.2,65.0,5.97,5.05,6.96,10.0,23.020793,72.502095
PROP00020,2023-12-01,Ahmedabad,Prahlad Nagar,Gujarat,Apartment,4,2378,16,107.33,4513.61,39743,4.44,161,87,343,80,78.6,66.5,5.96,4.92,6.57,2.6,23.010925,72.512085
PROP00021,2022-01-01,Noida,Sector 62,Uttar Pradesh,Apartment,3,1252,20,65.18,5206.4,24102,4.44,207,140,380,92,75.0,70.4,6.02,4.62,6.29,8.9,28.623447,77.363468
PROP00022,2025-03-01,Jaipur,Vaishali Nagar,Rajasthan,Independent House,3,1530,1,93.34,6100.62,26912,3.46,123,98,179,77,78.7,56.7,6.0,5.15,6.63,11.4,26.911029,75.734093
PROP00023,2023-02-01,Chennai,Adyar,Tamil Nadu,Independent House,2,1110,9,105.81,9532.78,34346,3.9,126,77,246,79,76.9,74.9,5.95,4.28,5.77,4.0,12.999365,80.255327
PROP00024,2024-02-01,Chennai,Porur,Tamil Nadu,Apartment,3,1443,11,105.93,7340.88,40186,4.55,113,68,314,80,74.1,75.1,6.13,5.04,6.7,6.2,13.037318,80.152882
PROP00025,2024-05-01,Delhi,Rohini,Delhi,Apartment,1,760,1,100.75,13256.37,30602,3.65,83,39,113,59,75.5,77.2,6.12,5.4,6.25,1.7,28.737642,77.054326
PROP00026,2026-06-01,Bengaluru,Whitefield,Karnataka,Apartment,2,1159,14,122.77,10592.96,41886,4.09,190,111,412,89,90.6,71.7,5.94,4.6,6.97,2.0,12.975415,77.74823
PROP00027,2025-10-01,Hyderabad,Gachibowli,Telangana,Apartment,2,1152,19,82.27,7141.46,24902,3.63,195,137,324,48,88.1,60.4,5.95,5.11,6.44,8.1,17.439463,78.349714
PROP00028,2023-08-01,Mumbai,Navi Mumbai,Maharashtra,Apartment,2,1223,17,289.92,23705.62,74736,3.09,112,66,192,73,78.0,67.2,6.04,5.02,6.23,4.3,19.035958,73.029061
PROP00029,2025-02-01,Kolkata,Behala,West Bengal,Apartment,3,1496,11,87.11,5822.96,26165,3.6,152,109,186,59,83.5,73.7,5.99,4.52,6.75,8.9,22.492294,88.31165
PROP00030,2024-12-01,Bengaluru,Marathahalli,Karnataka,Independent House,4,1881,6,205.55,10927.51,61229,3.57,175,125,330,67,80.4,74.6,6.12,4.72,6.28,11.1,12.962152,77.699192
PROP00031,2026-04-01,Bengaluru,HSR Layout,Karnataka,Apartment,3,1276,16,122.27,9582.07,47011,4.61,214,164,364,73,86.7,65.0,5.97,5.21,6.31,10.8,12.917051,77.634738
PROP00032,2025-11-01,Ahmedabad,Satellite,Gujarat,Apartment,3,1747,6,102.33,5857.52,39453,4.63,177,113,363,102,68.9,66.2,6.03,4.85,6.45,7.0,23.018877,72.509158
PROP00033,2022-12-01,Pune,Hadapsar,Maharashtra,Apartment,2,1049,1,66.69,6357.76,24817,4.47,82,61,110,65,87.1,64.0,6.01,4.23,5.93,10.9,18.506809,73.915741
PROP00034,2024-08-01,Bengaluru,Electronic City,Karnataka,Apartment,2,1192,5,121.94,10229.94,44946,4.42,191,126,402,64,86.5,67.6,5.99,4.78,6.78,1.5,12.843365,77.658501
PROP00035,2026-03-01,Ahmedabad,Bopal,Gujarat,Apartment,4,2118,15,97.01,4580.42,33592,4.16,148,77,311,88,75.5,70.0,5.94,4.59,6.7,4.9,23.03359,72.464945
